nb_permission ,"ACCESS_INTERNET(0, 1)",ACCESS_BLUETOOTH,ACCESS_LOCATION,ACCESS_Account,"Classe (0, 1, 2)"
3,1,0,0,0,1
1,1,0,0,0,1
5,1,0,0,0,1
3,1,0,0,0,2
5,1,0,0,0,1
6,1,0,0,0,2
4,1,0,0,0,2
2,0,0,0,1,1
5,0,0,0,1,1
4,0,0,0,1,1
1,0,0,0,1,2
4,0,0,0,1,2
1,0,0,0,1,1
8,0,0,0,1,1
7,0,0,1,1,1
11,0,0,1,1,1
1,0,0,0,1,1
1,0,0,0,1,1
3,0,0,0,1,1
6,0,0,1,1,1
1,0,0,0,1,2
4,0,0,0,1,2
3,0,0,0,1,2
2,0,0,0,1,1
6,0,0,1,1,1
6,0,0,1,1,1
1,0,0,0,1,2
5,0,0,0,1,1
7,0,0,1,1,1
7,0,0,0,1,1
3,0,0,0,1,1
1,0,0,0,1,2
1,0,0,0,1,1
5,0,0,0,1,1
1,0,0,0,1,2
3,0,0,1,1,1
3,0,0,0,1,1
1,0,0,0,1,1
6,0,0,1,1,1
6,0,0,1,1,1
5,0,0,0,1,2
1,0,0,0,1,2
3,0,0,0,1,1
2,0,0,0,1,1
7,0,0,0,1,1
3,0,0,0,1,1
2,0,0,0,1,1
1,0,0,0,1,1
4,0,0,0,1,2
1,0,0,0,1,1
3,0,0,0,1,1
2,0,0,0,1,1
8,0,0,1,0,1
16,0,0,1,0,2
16,0,0,1,0,2
16,0,0,1,0,2
16,0,0,1,0,2
16,0,0,1,0,2
1,0,0,1,0,1
4,0,0,1,0,1
